,o_body,verdict
1079,The Salvation Army charges families for clothing and toys donated to them through the Angel Tree program.,false
1080,Pope Francis endorsed Donald Trump for president.,false
1081,Moderator Chris Wallace received a 'cease and desist' letter from Trump about groping allegations in the midst of a presidential debate.,false
1082,Anti-seat belt law advocate is killed in automobile accident.,true
1083,Message from National Guardsman chronicles U.S. accomplishments in rebuilding Iraq.,undetermined.
1084,"Morris 'Moe' Berg, a multilingual Princeton University graduate who played major league baseball throughout the 1920s and '30s, lived a life of danger and intrigue as a U.S. military intelligence officer in Europe during World War II.",mostly true
1085,Rocker Joan Jett sent an angry letter to Rolling Stone magazine to complain about their 'Women in Rock' issue.,false.
1086,A university student who drank too many Cokes died from carbon dioxide poisoning.,false
1087,The streaming music service Pandora endorsed the Black Lives Matter movement while ignoring the deaths of Dallas police officers.,mixture
1088,"Russia has blackmail material on Utah Republican Rep. Jason Chaffetz, which is why he will not seek re-election.",unproven
1089,A child died during a routine operation because someone used a cell phone in a hospital.,false.
1090,E-mail reproduces country singer Charlie Daniels' editorial about Barack Obama.,true.
1091,A list collect passages about racism taken from Barack Obama's books.,mixture
1092,"Rolls-Royce dispatches a special mechanic to aid a stranded motorist, then afterwards disavows the incident, claiming 'Our cars never break down.",legend
1093,Cher had her lowest pair of ribs surgically removed to achieve an ultra-small waist.,false.
1094,As many as nine transgender children (some adult children) committed or attempted suicide the night Donald Trump was elected President.,unproven
1095,Sen. Hillary Clinton's 2003 Thanksgiving visit forced U.S. troops in Afghanistan to wait for their holiday dinner.,multiple - see below.
1096,Image shows 'smart dust' miniaturized RFID technology developed by Hitachi.,true
1097,CNN host Fareed Zakaria posted a blog entry calling for white women to be raped by Islamic minority groups.,false
1098,"The San Andreas fault is on the move, signaling that a massive earthquake might be imminent.",mixture
1099,President Donald Trump's proposed 2020 re-election campaign slogan ('Keep America Great') was used in a 'Purge' film.,true
1100,A photograph shows a pilot taking a selfie out of a plane window.,false
1101,"The CDC has proposed a new rule enabling the agency to 'apprehend and detain anyone, anywhere, at any time, without Due Process or any right of appeal' and 'administer forced vaccinations.",false
1102,Facebook 'padlock' security feature is really a ruse by hackers to gain access to your account.,false
1103,A law professor is working to take Donald Trump's election win away by appealing to electoral college voters.,true
1104,"Donald Trump raped his former wife and a young woman, and his modeling agency was found to be trafficking young girls.",mixture
1105,Donald Trump's campaign invented a fictional speechwriter named Meredith McIver to take the heat after Melania Trump was criticized for purportedly plagiarizing Michelle Obama's 2008 convention speech.,false
1106,Wild Kingdom host Marlin Perkins was bitten by a venomous snake on live TV.,false
1107,Benjamin Franklin said it was the first responsibility of every citizen to question authority.,unproven
1108,A slowed-down recording of crickets chirping sounds like a human chorus.,unproven
1109,Application of Vicks VapoRub to the soles of children's feet effectively counters nighttime cough.,unproven
1110,Ordinary use of Ultra Clorox bleach poses a general danger to household pets.,false
1111,Edward Snowden claimed that Russia fixed the 2016 general election so Donald Trump would win.,false
1112,"Opossums kill thousands of ticks each week, inhibiting the spread of Lyme Disease to humans.",mostly true
1113,President Trump offered asylum to Russian Jehovah's Witnesses.,false
1114,Uniforms for the 2012 U.S. Olympic team were made in China.,true
1115,Bees are born fully grown.,false
1116,The jilted wife of the owner of Home Depot created the Lowe's chain of home improvement stores.,false
1117,NRA president Jim Porter declared that 'it's only a matter of time before we can own colored people again.,false
1118,A video shows the chief Iranian nuclear negotiator appearing on television and candidly reflecting on the negotiating process with the U.S.,false
1119,The Secret Service has launched an 'emotional protection' unit for President Trump.,false
1120,illary Clinton vowed that she would shut down the NRA and ban handguns if she were elected President.,false
1121,Donald Trump said that he believes that the Earth is flat.,false
1122,Michael Moore has endorsed Donald Trump for president.,false
1123,Actor Ralph Macchio of 'Karate Kid' fame passed away in June 2016.,false
1124,Sting video maker James O'Keefe plans to 'infiltrate' the Women's March on Washington.,unproven
1125,"A photograph shows Bernie Sanders at a 1965 civil rights march with Martin Luther King, Jr.",false
1126,The 'Podesta e-mails' revealed the existence of a secret society of pedophiles operating through a pizza place loosely connected to Clinton associate David Brock.,false
1127,"Democrats Bernie Sanders, Keith Ellison, Debbie Wasserman Schultz, and Nancy Pelosi refused to stand and clap for Navy SEAL widow Carryn Owens during a presidential speech.",false
1128,An Indiana Congressman is introducing legislation to change the name of Interstate 69.,false.
1129,The entire Disney movie collection will be available for viewing through Netflix starting in September 2016.,mostly false
1130,Drinking wine before bed 'officially makes you skinny.,mostly false
1131,Children's iPad app 'Roblox' is dangerous and enables predators to easily target children without parental knowledge of the interactions.,unproven
1132,Cell phone companies began charging users for SMS emojis (emoticons) in February 2016.,mostly false
1133,Holocaust survivor Dr. Emanuel Tanay penned an essay on the dangers of Islam.,incorrectly attributed
1134,A girl named Laura Buxton released a balloon that ended up in the hands of another girl named Laura Buxton who lived 140 miles away.,mostly true
1135,"The Department of Justice (DOJ)'s switchboard is tallying 'Audit the Vote' calls and if enough people call, 2016 election results can be overturned.",false
1136,Senator John McCain admitted that he was a 'war criminal' and was pardoned by President Nixon for his crimes.,false
1137,Republican presidential candidate Donald Trump has died of a 'violent heart attack.,false
1138,The bitter almond tree was banned in America in 1995 because it treats and prevents cancer.,false
1139,A resolution passed in March 2016 forces residents of a Texas county to pay reparations to black citizens.,false
1140,President Obama has limited churches to offering twice-monthly services.,false
1141,Hillary Clinton has proposed a 65% estate tax rate which would force farm families to give up their businesses.,mostly false
1142,Video clip shows a car with color-changing 'paramagnetic paint.,false
1143,Mitt Romney assisted in the search for his business partner's missing daughter.,true
1144,Michael Jordan said he doesn't care about kids dying over his shoes.,false
1145,Amazon.com is sending out notifications of canceled orders for non-existent books.,false
1146,"Police in Richmond, Virginia killed a young child during a shootout with two suspects.",false
1147,Bags of rice sent to President Eisenhower helped dissuade him from launching an attack against China.,false.
1148,Several social media networks have announced they will be banning users who post images of the Confederate flag.,false
1149,The personalities of the dwarf characters in Disney's animated film version of Snow White and the Seven Dwarfs represent the seven stages of cocaine addiction.,false
1150,"Jimi Hendrix, Jim Morrison, Janis Joplin, and Kurt Cobain all died with white Bic lighters in their pockets.",false
1151,"A Clinton Foundation cargo ship arriving from Africa was raided and found to contain 'illegal contraband' in the form of foreign refugees, narcotics, weapons, and illegal fruits.",false
1152,A recall was issued for foil-wrapped Pirate's Gold chocolate coins because they contain melamine.,true.
1153,A good samaritan warns a female driver about the armed and dangerous man hiding in the back seat of her car.,legend
1154,John McCain said he would define the income level that divides the middle class from the rich as $5 million.,true.
1155,"An 'Islamic refugee' was apprehended in Luna County, New Mexico and found to be in possession of plans to a gas pipeline.",false
1156,A U.S. soldier named Bowe Bergdahl was held prisoner after being captured by the Taliban in 2009.,outdated
1157,"Lockheed Martin is going to lay off 123,000 workers due to military downsizing but is not sending out layoff notices at the behest of the Obama administration.",mixture of true and false information
1158,Jack Benny arranged to have a single red rose sent to his wife every day after he was gone.,true
1159,Advice columnist responds to the wrong aspect of reader's letter.,false.
1160,"President Dwight D. Eisenhower's mother was biracial, and thus President Barack is not the 'first black president.",unproven
1161,Donald Trump's ancestors changed their surname from 'Drumpf' to 'Trump.,mostly true
1162,The Supreme Court revoked the Church of Scientology's tax-exempt status in March 2016.,false
1163,Rolling Stones guitarist Keith Richards passed away in January 2016.,false
1164,A photograph shows a Starbucks with an welcome mat featuring a picture of President Trump on its floor.,false
1165,An anonymous retail worker in Saginaw uploaded a video of a woman 'stealing' an item from a child shopper on Black Friday.,probably false
1166,Steve Bannon once described himself a 'Leninist' who wanted to destroy the state.,unproven
1167,Aldi is giving away 40% off grocery coupons to Facebook users.,false
1168,Two men are still making payments on a Jeep Cherokee they sent to the bottom of a frozen lake during a duck-hunting mishap.,false
1169,Pastor Rick Warren of Saddleback Church changed his name to 'Muhammad Hussein Warren.,false
1170,President Obama has decreed that the phrase 'In God We Trust' be removed from all U.S. currency.,false
1171,"Photographs show the 'parrot plant,' a plant whose flowers resemble a parrot in flight.",true
1172,A recent uptick in Zika virus infections is linked to the introduction of a genetically modified mosquito farm in Brazil in 2012.,unproven
1173,Two police officers in Georgia cumulatively killed more than 250 people and remain at large.,false
1174,The 'Dr. Phil Show' guest known as the 'Cash Me Outside' girl committed suicide.,false
1175,"Hillary Clinton's running mate Tim Kaine stepped aside as DNC chair in 2011 to allow Clinton supporter Debbie Wasserman Schultz to take the job spot in exchange for a slot on the 2016 ticket; in October 2016,",mixture
1176,Young prodigy Brandenn Bremmer achieved a number of successes before taking his own life at age14 so that he could donate his organs to others.,mixture
1177,Pastor John Hagee said that 'God made all lesbians flat' so they can be identified by 'normal people'.,false
1178,"During the 19th and 20th centuries, some U.S. cities enacted so-called 'ugly laws' banning people deemed 'diseased, maimed, mutilated or in any way deformed so as to be an unsightly or disgusting object or improper person' from public spaces.",true
1179,Congress will not allow Social Security recipients to get a COLA increase while Obamacare raises the cost of Medicare premiums.,false
1180,Americans can use their birth certificates to access secret 'strawman' funds.,false
1181,Account describes a cab driver taking an elderly woman to a hospice on the last ride of her life.,legend
1182,"92-year-old Pam Nelson of Victoria, Texas, was unable to vote because of new laws requiring voters to present ID.",false
1183,Pink Cross Publishing is about to publish a gay revision of the Bible.,false
1184,Ordinary use of waterproof sunscreen can cause blindness.,false.
1185,Photograph shows the killer Volat-Araneus 'flying spider' due to migrate to the UK this year.,false
1186,Clint Eastwood refused to accept the Presidential Medal of Freedom from President Obama.,false
1187,President-elect Donald Trump was pictured at a cross burning with the KKK.,false
1188,A man had his thumbs surgically altered so that he could more easily operate his iPhone.,false.
1189,George Washington said that a free people need 'sufficient arms and ammunition to maintain a status of independence' from their own government.,false
1190,"The town of Purdon, Texas was quarantined after a family of five there tested positive for the Ebola virus.",false
1191,Leaked conversations revealed that President Trump planned on signing an executive order to abolish impeachment.,false
1192,The Facebook 'Look Back' mini-movie function is the work of a hacker.,mixture
1193,"E-mail requests birthday cards for Alyssa Bruno, a 5-year-old girl who is battling diffuse pontine glioma.",was true; now outdated
1194,Toms Shoes is giving away free merchandise to Facebook users.,false
1195,The Weather Channel announced that it will only use the Celsius temperature scale.,false
1196,A drunk's attempt to escape the long arm of the law goes awry when he drives off from the scene of the arrest in the wrong car.,legend
1197,Chobani CEO Hamdi Ulukaya vowed to 'drown the United States in Muslims' and is 'importing them to Idaho 300 at a time to work in his factory.,mostly false
1198,A California halfway house resident was promised $300 if he voted for Hillary Clinton.,false
1199,Researchers in North Carolina have created 'the first fully living dinosaur embryo in millions of years' using DNA from chicken skin.,false
1200,Chevy Chase died of a heart attack on 4 January 2016.,false
1201,New Year's is the day of the year on which the greatest number of people are killed in automobile accidents.,false
1202,Thieves can steal ATM cards and PINs by using plastic sleeves known as 'Lebanese loops.,true.
1203,Picking bluebonnets is illegal in Texas.,false
1204,"Representative Mick Mulvaney, who was recently selected as the Trump administration's nominee for director of the Office of Management and Budget, one posed the question 'Do we really need government-funded research at all?' on Facebook.",true
1205,Liquor and wine are illegal in the U.S. unless they are radioactive.,false
1206,Retailer Forever 21 is selling rings and other jewelry that include swastikas.,false
1207,"Photograph shows artwork around the urinals of a men's restroom at a hotel in Queenstown, New Zealand.",true.
1208,"Photographs show Dobri Dobrev, a 98-year-old man in Sofia who collects money for the restoration of monasteries and churches.",true
1209,Oprah Winfrey said that restaurant customers need not tip their servers more than 10%..,false
1210,Photograph shows a Minnesota billboard bearing a picture of smiling President George W.,true
1211,"A Purina employee was arrested and charged with theft for stealing and eating $30,000 worth of dog biscuits.",false
1212,Article by orthopedic surgeon Dr. Dave Janda criticizes the ObamaCare Plan as 'fascist.,mixture
1213,"World Trade Center leaseholder Larry Silverstein bought terrorism insurance two months before 9/11, then collected double its value on the grounds that there were two attacks.",mixture
1214,"Facebook users can receive a $5,000 cash reward from Bill Gates for clicking a share link.",false
1215,Transcript reproduces 2007 commencement address delivered by Yogi Berra at Saint Louis University.,false.
1216,Photograph shows a Jewish baby stoned by Arabs.,undetermined
1217,The Nevada Athletic Commission has voided Floyd Mayweather's boxing victory over Manny Pacquiao.,false
1218,Coca-Cola's 'Share A Coke' campaign includes a bottle for the KKK.,false
1219,"Leaked medical records, combined with viral images and videos, prove that Hillary Clinton is suffering from subcortical vascular dementia and has only one year to live.",false
1220,Police warned that using 'Facebook Reactions' is dangerous.,mostly false
1221,General Electric is moving its x-ray division and headquarters from Wisconsin to China.,mixture:
1222,A photograph shows a female wolf protecting a male's throat during a fight.,miscaptioned
1223,A law in Japan makes it illegal for citizens of that country to be fat.,mostly false
1224,Will Smith and Jada Pinkett Smith have purchased the BET channel.,false
1225,An FBI agent investigating Hillary Clinton's use of a private e-mail server killed himself after murdering his wife.,false
1226,Photographs show automobiles tightly packed in a compact German public parking garage.,real photographs; inaccurate description
1227,A photograph shows an overhead view of shadows cast by camels in the desert.,true
1228,A wounded Vietnam veteran bought a full-page ad in the Army Times.,true.
1229,CNN created 'fake news' and staged protests in which Muslim residents purportedly protested a 3 June 2017 attack in London.,false
1230,"During the Jim Crow era of racial segregation in the American South, some businesses posted 'colored only, no whites allowed' signs over their doors.",true
1231,"H.R. 4919, passed on 8 December 2016, allows the microchipping of 'mentally disabled' citizens such as patients with autism and Alzheimer's disease.",mostly false
1232,Your personal information can be obtained through the Zabasearch.com web site.,true.
1233,Filmmakers staged lemming death scenes for the Disney nature documentary White Wilderness.,true
1234,President Bill Clinton firing of FBI Director William Sessions was linked to Deputy White House Counsel Vince Foster's death a day later.,mixture
1235,Actress and comedian Sherri Shepherd has died of a heart attack.,false
1236,President Donald Trump criticized Prime Minister Justin Trudeau for excessive Facebook usage.,false
1237,A 'Welcome to Idaho' sign warns potential criminals about gun-owning citizens.,false
1238,Three Wisconsin counties admit to fixing the vote in favor of Donald Trump.,false
1239,A product called 'TV Frog' can replace your cable service.,mixture
1240,Images show a distinctive 150-ft x 124-ft yacht known as a WHY.,mixture
1241,Earth's magnetosphere collapsed for two hours on 23 April 2016.,false
1242,Republican U.S. representatives implemented a new rule that shields them from prosecution.,mixture
1243,Queen Elizabeth contradicted London Mayor Sadiq Khan by 'refusing to retract' an invitation to Donald Trump to visit the UK.,mostly false
1244,Convicted Boston Marathon bomber Djokhar Tsarnaev was badly beaten in prison.,false
1245,A photograph shows the remarkably clear Flathead Lake in Montana.,mostly true
1246,Photograph shows Senator John Kerry eating alone in a mess hall after being snubbed by U.S. troops in Iraq.,real photograph; inaccurate description.
1247,A Russian sex worker said Donald Trump was one of her clients and that he has a small penis.,false
1248,Former FBI director James Comey covered up Seth Rich's purported links to WikiLeaks in order to protect Hillary Clinton and the DNC.,false
1249,George Washington said that Jews were a dangerous scourge who should be 'hunted down as pests.,false
1250,Lord of the Flies author William Golding once said that women are 'far superior [to men] and always have been.,true
1251,NORAD annually tracks Santa's progress because a child trying to reach Santa via a newspaper advertisement called the wrong phone number.,true
1252,Medal of Honor recipient Van T. Barfoot is barred from flying the U.S. flag outside his home.,outdated
1253,"Facebook has not one, but two filtered message inboxes where Messenger messages may not be easily seen.",true
1254,HIV+ blood has been slipped into ketchup dispensers in fast food restaurants.,false.
1255,Anti-Trump protesters beat a homeless veteran to death in Philadelphia.,false
1256,Truck driver involved in capture of sniper suspects prayed with other truckers that the sniper would be caught.,true.
1257,Photographs show a dwelling made from an airplane.,mostly true
1258,JFK donated his entire presidential salary to charity.,true
1259,President Obama has signed a bill forgiving all student loans taken out within the last ten years.,false
1260,Hillary Clinton's assistant J.W. McGill was found dead after suffering an apparent heart attack.,false
1261,Mike Pence was recaptured after he attempted to escape from Donald Trump's campaign bus.,false
1262,An essay outlines the fates of the signers of the Declaration of Independence.,mixture
1263,The movie The Blair Witch Project is based on footage shot by three student filmmakers who mysteriously disappeared while making a documentary about the legend of the Blair Witch.,false.
1264,Visitors to Hollywood's Walk of Fame regularly defecate on Donald Trump's star.,false
1265,California is planning to ban black cars in order to curb global warming.,mostly false
1266,Sen. Tim Kaine responded to news of a machete attack at Ohio State University by tweeting that he was deeply saddened by the senseless act of 'gun violence.,mixture
1267,Article contrasts compensation paid to families of September 11 victims with benefits paid to families of U.S. military personnel killed on active duty.,outdated
1268,"Ted Cruz met with President Obama, Hillary Clinton, and Valerie Jarrett on Air Force One a few days before the RNC, and they convinced him not to endorse Donald Trump.",mixture
1269,"Photographs show Donald Trump's sons, Donald Jr. and Eric, posing during a big game hunting trip.",true
1270,"Musician finally masters extraordinarily difficult guitar part he heard on a record, only to learn the recording had been made with more than one guitar.",legend
1271,President Obama has announced a nationwide Muslim outreach program for children from grades K-12.,false
1272,"Donald Trump had a bust of Marin Luther King, Jr. removed from display in the Oval Office on his first day in the White House.",false
1273,An image contrasts radically different gun laws and homicide rates in Honduras and Switzerland.,false
1274,"The English word 'trumpery,' which derives from a French word meaning 'to deceive,' is defined in the dictionary as 'showy but worthless.",true
1275,"Khizr Kahn's law firm received a $375,000 wire transfer from the Clinton Foundation after he spoke at the Democratic National Convention.",false
1276,The U.S. Postal Service is going to impose a 5¢ surcharge on every e-mail message sent via the Internet.,false
1277,Bill Clinton said that testifying at congressional hearings meant that 'Hillary suffered more than those guys in Benghazi.,false
1278,A headstone marking the burial site of a 4-year-old boy was removed because its shape violated cemetery rules.,true
1279,Harry Potter books are sparking a rise in Satanism among children.,false.
1280,Ongoing tetanus vaccine campaigns in Kenya are a ruse to sterilize women of childbearing age.,false
1281,An Oklahoma teacher was fired for praying when a tornado hit her school.,false
1282,"The creator of Pokémon said in an interview that the game is anti-Christian, and was developed with Satanists in mind.",false
1283,Image shows a racially contradictory sign imploring that everyone be treated equally.,false
1284,Starbucks offered free drink upgrades to customers who provided the name 'Aloha Snackbar' to their baristas.,false
1285,The man leading opposition to a controversial 'bathroom bill' in North Carolina is a registered sex offender.,mixture
1286,The Dalton (Georgia) police have warned local stores to be on the alert for gang initiation abductions.,false
1287,Michael Jordan said that he wasn't going to sell any more shoes 'until black people unite.,false
1288,A photograh showing a body of water with two distinct colors is a permanent location where the Mississippi River meets the Gulf Of Mexico.,mixture
1289,List offers useful tips for avoiding contracting the swine flu.,mixture
1290,Photographs show a boy having his arm crushed under a truck as a punishment for stealing bread.,false
1291,Scientists have created an 'Aquaman Crystal' which will allow anyone to breathe underwater.,mixture:
1292,A video shows Dutch politician Tunahan Kuzu putting a grilled cheese in his pocket before an interview.,false
1293,The word 'guacamole' literally translates as 'testicle sauce.,mostly false
1294,The brother of a top ISIS leader has repented and converted to Christianity.,false
1295,Senator Ted Cruz is scheduled to speak at the 2016 Democratic National Convention.,false
1296,A Texas man was forced to take his American flag down because its display threatened Muslims.,mostly false
1297,Drivers in China commonly intentionally kill pedestrians in hit-and-run accidents.,unproven
1298,Attorney General Jeff Sessions described immigrants as 'filth' during a speech in Arizona.,false
1299,Children's television show host Fred Rogers hid a violent and criminal past.,false
1300,The greeting 'Hello' entered the language because it was the surname of Alexander Graham Bell's girlfriend.,false
1301,Hillary Clinton wants to bring an end to the United States as we know it in favor of a 'hemispheric government.,false
1302,President Obama ordered a life-sized bronze statue of himself to be permanently installed at the White House.,false
1303,The cast of M*A*S*H did not learn of Col. Blake's death until they were actually filming the scene in which it was announced.,false
1304,Outgoing President George H.W. Bush left a note welcoming incoming President Bill Clinton to the White House in 1993.,true
1305,"Photograph shows Cyclopes, a kitten born with a single cyclopic eye.",true.
1306,Atari buried millions of unsold E.T. game cartridges in a New Mexico desert landfill.,legend
1307,An image shows the ghost of Paul Walker on the set of the eighth movie in 'The Fast and the Furious' franchise.,false
1308,Bubble Yum chewing gum contains spider eggs.,false.
1309,President Trump has established English as the official language of the United States.,false
1310,A deceased cattle rancher had an ATM installed in his tombstone to dole out weekly stipends to his heirs.,false.
1311,Hillary Clinton refused to meet with a contingent of Gold Star mothers.,false
1312,Telling Siri to 'charge my phone to 100 percent' will cause the virtual assistant to surreptitiously dial 911 or summon emergency services.,mostly false
1313,Photograph shows a school essay rejected because the student chose 'Jesus Christ' as her hero.,false
1314,A video shows a Megaladon Shark at the bottom of the Mariana Trench.,false
1315,"During the RNC, Donald Trump sent a tweet about his running mate describing him as 'boring Mike Pence.",false
1316,Article details efforts of John Glenn's wife to overcome stuttering.,true
1317,An image shows the difference between a lithium mine and an oil sands installation.,mostly false
1318,"Some dollar stores sell expired and foreign, non-ADA-standard formulations of toothpaste.",true
1319,A complicated Honda Accord commercial was achieved without the use of computer-generated images.,true
1320,A Romanian couple named their son 'Yahoo' as an expression of gratitude for their having met over the Internet.,false.
1321,Photographs show a 'censored' protest against a planned mosque in New York City.,mixture
1322,Men's rights activist 'Roosh V' organized a 'make rape legal' event across 43 countries on 6 February 2016.,mixture
1323,The user of solar panels drains the sun of energy.,false
1324,The chairman of the Barilla pasta brand once said he would never use homosexual couples in his advertisements.,true
1325,"A woman named Cassidy Boon is suing the man who saved her from drowning, claiming he raped her.",false
1326,Donald Trump announced that his 'first order' as President would be to make flag burning a treasonous act.,mostly false
1327,Donald Trump sent a tweet with the word 'unprecedented' incorrectly spelled 'unpresidented.,true
1328,President Trump has signed a bill lowering the age of sexual consent to 13.,false
1329,"A 'leaked' photograph depicts President Obama in handcuffs, facing charges of wiretapping President Trump.",false
1330,"Bristol Palin said all black actors look alike, making Oscar nominees difficult to diversify.",false
1331,Members of the Congressional Prayer Caucus sent President Obama a letter correcting his reference to E pluribus unum as the U.S. national motto.,true
1332,Sweden has discontinued the tradition of adorning street poles with Christmas lights to avoid angering Muslim refugees.,false
1333,McDonald's is importing foreign beef for use in its restaurants in the United States and Canada.,mixture of true and false information
1334,The Allman Brothers Band's album title Eat a Peach is a reference to Duane Allman's fatal motorcycle accident.,false.
1335,Doctors discovered that a pregnant woman's unborn daughter was also pregnant.,false
1336,A 1940's Dr. Seuss political cartoon criticized Americans for not caring about the deaths of foreign children.,true
1337,"A couple bought a 'Princess' Beanie Baby worth £62,500 for just £10.",false
1338,Peanut oil is secretly present in childhood vaccines and flu shots.,false
1339,"WhatsApp will share personal user information with Facebook, who will make it publicly available.",false
1340,The lines on red Solo cups are markings to designate serving sizes of various kinds of alcohol.,false
1341,Bill O'Reilly was arrested for assaulting a department store Santa.,false
1342,Mountain Dew and other sodas contain a toxic chemical known as brominated vegetable oil (BVO).,mixture
1343,A family of three drowned when they neglected to close their car's sunroof before going through a carwash.,false
1344,"Protests could permanently halt the Dakota Access Pipeline by blocking construction until 1 January 2017, when the project's contracts expire.",mixture
1345,"Jacqueline Saburido, the victim of a drunk driving accident, seeks donations to help with the expenses of medical treatment for her extensive injuries.",true.
1346,Actor Steve Buscemi was once a firefighter and assisted the FDNY after the 9/11 attacks.,true
1347,"Vermont governor Howard Dean promised 'that if he is elected president, the United States will no longer support Israel the way it has in the past' and 'characterized Hamas terrorists as 'soldiers.",multiple - see below.
1348,Donald Trump supporters made racist comments over CB radios during a pro-Trump parade.,unproven
1349,Women in childbirth with tattoos on their lower backs should not receive anesthetic via epidural injection.,undetermined.
1350,A 13-year-old Philadelphia girl named Ashley Flores is missing.,false
1351,An amendment to Indiana's Religious Freedom Restoration Act (RFRA) requires gay residents to wear a sensor for identification.,false
1352,A Pepsi distributor stopped donating supplies to the God's Pit Crew relief agency because of the charity's name.,mixture
1353,Japanese engineers have created a robotic bear to aid in assisted suicides.,false
1354,A Tennessee boy died in the arms of a local man portraying Santa Claus during a hospital visit.,unproven
1355,Caitlyn Jenner regrets transitioning to female and wishes to de-transition.,false
1356,Official Department of Interior Twitter accounts were temporarily deactivated after the National Park Service account was used to retweet negative information about the incoming Trump administration.,true
1357,Queen Elizabeth asserted she has the legal authority to kill President Trump with a sword should he enter Buckingham Palace.,false
1358,Barack and Michelle Obama surrendered their law licenses to avoid pending disciplinary actions.,false
1359,The Oklahoma Highway Patrol is using a device called an 'ERAD' to seize money from people's bank accounts.,mixture
1360,Greenies brand dental chews pose a general danger to dogs.,undetermined
1361,Stanley Kubrick admitted in an interview that he helped NASA fake the U.S. moon landings.,false
1362,Nestlé has recalled some HOT POCKETS brand products due to possible contaminated beef issues.,true
1363,Rep. Trey Gowdy ordered the exhumation of the body of Clinton associate Vince Foster.,false
1364,"Dr. Hardin B. Jones recently revealed that chemotherapy doesn't work 97% of the time, and doctors only recommend it to get kickbacks.",false
1365,List details a 'trifecta' of firsts related to President Obama.,false
1366,E-mail warns that buying mulch from major home improvement stores will spread the Formosan subterranean termite.,false.
1367,"Donald Trump said veterans suffering from PTSD are 'weak,' 'unfit,' and 'can't handle' military service.",mostly false
1368,"Clark Gable killed a pedestrian while driving drunk, but MGM covered up the accident and sent another man to jail in his place.",false
1369,E-mail reproduces letter from retired U.S. Border Patrol agent to Senator Bill Frist.,true.
1370,"Supporters of Bernie Sanders shouted 'English only' at civil rights activist Dolores Huerta during one Nevada caucus event, ostensibly objecting to a translation of remarks into Spanish.",false
1371,Mike Pence tweeted that calls to ban Muslims from entering the U.S. are 'offensive and unconstitutional.,true
1372,Hillary Clinton wore a 'secret earpiece' at NBC's Commander-In-Chief forum.,false
1373,Charles Shaw wine was sold cheaply because airlines could no longer use corkscrews after 9/11 and dumped their stocks of wine.,false
1374,Photograph shows God's hands in a cloud formation.,false
1375,Being an only child (or an only son) automatically exempts you from military service in the U.S.,false
1376,Michele Bachmann is calling for a ban on Halloween because 'the holiday is based in Satanism.,false
1377,Photographs show a pair of albino moose alongside a highway.,mixture
1378,Photograph shows U.S. troops in Iraq holding up a sign mocking comments by Senator John Kerry.,true.
1379,No celebrities are willing to perform for Trump's inauguration.,unproven
1380,Attorney General Jeff Sessions has investments in the private prison industry.,mixture
1381,Hillary Clinton was named after famed mountain climber Sir Edmund Hillary.,false
1382,Ted Cruz said that he was a Christian first and an American second.,true
1383,Recent seismic activity in Yellowstone Park portends a coming cataclysmic volcanic eruption.,false
1384,"German and British front-line soldiers sang carols, exchanged gifts, and played soccer during a World War I Christmas truce.",true
1385,Photographs show 3D-like sidewalk paintings done in chalk.,true
1386,Various restaurants around the world were shut down for serving for serving human meat.,false
1387,Parents should be aware that a code for pedophiles inexplicably showed up on a children's toy at motorsport event Monster Jam.,mostly false
1388,Photograph depicts a young woman's revealing (and inappropriate) high school prom dress.,unproven
1389,Lobsters mate for life.,false
1390,"Donald Trump tweeted and deleted a candid, regretful statement in the early hours of New Year's Day.",false
1391,Neil DeGrasse Tyson said his interest in 'astrological [physics]' stemmed from his experience stealing and consuming large quantities of LSD as a young teen in Harlem.,false
1392,Photographs show the passenger cabin of an airliner as it broke up in mid-air.,false
1393,President Trump's executive order limiting travel and immigration from certain countries was made possible under a bill signed into law by President Obama in 2015.,mixture
1394,A man deleted his entire company with one line of code.,false
1395,Dawn brand dishwashing liquid is significantly more caustic than other brands and erodes the corneas of children's eyes.,false.
1396,Former Subway spokesman Jared Fogle was released from prison and placed on house arrest due to overcrowding.,false
1397,The President of the United States of America has asked the nations of the world to mark December 11 2001 with expressions of remembrance of the September 11 attacks.,true.
1398,Juval Aviv correctly predicted upcoming terrorist attacks against the U.K. and the U.S.,false
1399,Video clip shows a woman being pulled apart at the waist.,multiple - see below.
1400,A photograph depicts Syrian refugees housed in U.S. luxury hotels while American veterans sleep on the street.,mostly false
1401,"Ret. Sgt. Gregory Hayes beat two Syrian refugees to death after they raped his daughter, and now faces life in prison.",false
1402,"Former first lady Barbara Bush said that New Orleans refugees being housed in the Houston Astrodome were 'underprivileged anyway, so this is working very well for them.",true.
1403,The U.S. Supreme Court ruled that ' the only Islam taught to our children in public schools will be the history of Radical Islam and what they can do to help stop it.,false
1404,President Obama banned Christmas trees and the phrase 'Merry Christmas' from Veterans Affairs (VA) facilities.,mixture
1405,"Centerville Elementary School in Lancaster, Pennsylvania, canceled a Christmas play because two parents complained about reference to God.",unproven
1406,Internet-circulated list titled '2004 Darwin Awards' details actual demises.,"two real entries, the others are fiction."
1407,An excerpt reproduces passages from Lee Iacocca's 'Where Have All the Leaders Gone?',mixture
