,verdict,claim
4269,False,Shane McMahon is not a wrestler.
4270,False,The Cry of the Owl is based solely on Patricia Highsmith's second novel.
4271,False,Noah Cyrus is of no relation to Billy Ray Cyrus.
4272,False,Tom Baker is incapable of getting involved with narrating commercials.
4273,True,Tenacious D started in the 1990's.
4274,True,Game of Thrones (season 7) will introduce several new cast members.
4275,False,DNA is exclusively a song.
4276,False,Drake Bell has yet to release an EP.
4277,True,The King and I is based on a novel by an American writer born in 1903.
4278,False,Nestor Carbonell played Godzilla in Lost.
4279,True,Season 2 of Fargo is set in the Midwest of the United States.
4280,True,Human trafficking involves labor.
4281,True,The CONCACAF Champions League is organized.
4282,False,Humphrey Bogart was not ranked greatest male star of Classic American cinema in 1999.
4283,False,Tiber Oil Field was discovered in France.
4284,False,Danger UXB is on a radio station in the United Kingdom.
4285,True,There is a science fiction film with Riddick.
4286,False,Terry Crews played only on the Pittsburgh Steelers.
4287,False,Damon Albarn has yet to release any studio albums.
4288,False,Sheryl Lee appeared in an organization written and directed by Woody Allen.
4289,True,Highway to Heaven is a drama series.
4290,False,Tinker Tailor Soldier Spy only stars Seth Rogen.
4291,False,Lalla Ward has only ever been an author.
4292,False,No Country for Old Men is a drama.
4293,True,Trevor Griffiths was born in 1935.
4294,False,The album Cher was created only by Bon Jovi.
4295,False,The 1974 musical comedy The Sugarland Express was Steven Spielberg's directorial debut.
4296,False,Underdog stars zero American actors.
4297,True,Shane McMahon worked in professional wrestling.
4298,True,Derek Hough has worked with a K-pop singer.
4299,True,"Beaverton, Oregon is a city."
4300,False,The New York City Landmarks Preservation Commission includes zero historians.
4301,False,The Gifted was created by Judd Apatow.
4302,False,Arizona is in Canada.
4303,False,Pharrell Williams was not in a band with Shay Haley.
4304,False,Rage Against the Machine broke up in 1999.
4305,True,Underdog was directed by a Belgian film director.
4306,True,Danny Brown is an American musician.
4307,False,Stan Beeman is a fictional disease.
4308,True,Harris Jayaraj is from India.
4309,True,Bea Arthur died in 2009.
4310,True,Ludwig van Beethoven was part of the classical era as a composer.
4311,False,CHiPs is exclusively a German film.
4312,False,Veeru Devgan is only a dance choreographer.
4313,False,The Penibaetic System is the northernmost of the three systems of mountain ranges in the Iberian Peninsula.
4314,False,Tenacious D ended in 1987.
4315,False,Caroline Kennedy served as United States Ambassador to Germany.
4316,False,Moonlight never premiered at the Telluride Film Festival.
4317,True,Uranium-235 was discovered by a person who was born in August.
4318,True,Southpaw is an American film.
4319,False,Bad Romance is an LP.
4320,True,The French Resistance committed acts of sabotage.
4321,True,Jeong Hyeong-don has worked under FNC Entertainment.
4322,True,The Columbia River undergoes drainage.
4323,True,Croatia is a popular tourist destination.
4324,False,The Bloods is narrowly known for its rivalry with the Crips.
4325,True,Thomas Jefferson worked with James Madison.
4326,True,"Jewell is best known for her song ""Love or Lust,"" featured in Bill Duke's film, Deep Cover."
4327,False,Marcus Bentley is incapable of being a voice-over artist.
4328,False,Fist of Legend is a remake of a film starring Jackie Chan.
4329,False,Trollhunters is only a film.
4330,False,The Cry of the Owl is based on the book The Hobbit.
4331,False,West Virginia borders Maine to the northeast.
4332,False,Southpaw's director is solely Quentin Tarantino.
4333,True,Libya is the 16th largest country in the world.
4334,False,Larry the Cable Guy series finale aired in the year 2014.
4335,True,Colombiana was produced by Luc Besson in 2001.
4336,False,Starrcade was an annual professional baseball event.
4337,False,Stephen Hillenburg was born in Kansas.
4338,False,The Crips are a mob.
4339,False,Youtube is unranked.
4340,False,Premam is a horror.
4341,False,Melancholia was directed by a Japanese sushi chef.
4342,False,Aaron Burr only killed private citizens.
4343,True,Acting is John Krasinski's career.
4344,False,The Road to El Dorado stars Robin Williams.
4345,False,Robert Palmer (writer) has yet to produce any recordings.
4346,False,Invasion literature has yet to become a genre of fiction.
4347,True,Seohyun sings.
4348,True,"Stephen Hillenburg was fascinated with the ocean as a child, leading him to create Spongebob Squarepants."
4349,False,Angelsberg is a country.
4350,False,Aristotle never went to the Academy.
4351,False,Duff McKagan was born in 1994.
4352,True,Penguin Books revolutionized publishing in the 1930s.
4353,False,Giada at Home aired on an American basic cable channel called the Cartoon Network.
4354,False,Victor Manuelle was uninvolved with every version of Despacito.
4355,True,Danger UXB is a work.
4356,True,Terry Crews was a linebacker.
4357,True,Qui-Gon Jinn is a character in the Star Wars franchise.
4358,True,Kendall Jenner is a person.
4359,False,Duane Chapman is a Gemini.
4360,True,Pearl Jam is a rock band.
4361,False,"Bessie Smith ran a marathon on September 26, 1937."
4362,True,Wilhelmina Slater is a person.
4363,False,Jens Stoltenberg was Prime Minister of Norway once.
4364,True,Mud has an American actor in its cast.
4365,False,Youtube is unranked.
4366,False,The 14th Dalai Lama fled to Japan during the Tibetan uprising.
4367,False,Dave Gibbons was born at a Planet Fitness.
4368,False,How to Train Your Dragon 2 used old animation software.
4369,False,Reign Over Me stars pretzels.
4370,True,Shane McMahon is a wrestler for WWF.
4371,True,Terry Crews played on the San Diego Chargers.
4372,True,Joe Rogan was a person.
4373,True,Ian Brennan is a director.
4374,True,Aunt May is a character that appeared in comics.
4375,False,Hush (2016 film) was not produced by Jason Blum.
4376,True,Byron Howard was nominated for a film award.
4377,True,Gal Gadot was ranked behind Bar Refaeli for Israel's highest earning actress/models.
4378,False,Miranda Otto began her acting career at age 50.
4379,False,Tie Your Mother Down was released as a single in 1976.
4380,False,Eva Mendes is a lawyer.
4381,False,Brazzers is not based in Canada.
4382,True,The horse was called a Eohippus when it had multiple toes.
4383,False,Augustus probably died from cancer.
4384,True,"Richard Linklater's daughter Lorelei plays Mason's sister, Samantha."
4385,True,Johnny Galecki plays Dr. Leonard Hofstadter in The Big Bang Theory.
4386,False,Scotty Moore was only a singer.
4387,True,Match Point was a film by Woody Allen.
4388,False,Guatemala has lived without war for its entire existence.
4389,False,José Ferrer won a Tony Award in 1909.
4390,False,"James Jones's nickname is ""Cody""."
4391,True,John Larroquette worked on Stripes.
4392,False,Angela Bassett received a master of fine arts degree from Duke University.
4393,False,The Cretaceous is yet to end.
4394,False,A Floppy disk is free of plastic enclosures.
4395,False,A Canadian film director rejected all offers to direct The Cincinnati Kid.
4396,True,"Capsicum chinense is commonly known as the ""bonnet pepper""."
4397,False,English people are descended from the grass.
4398,True,"23 percent of the University of Mississippi's students are minorities, with over 60 percent of the overall population coming from the state."
4399,False,Marjorie Gross wrote for film exclusively.
4400,True,Veeram was produced by Vijaya Productions.
4401,True,Sarawak's city with the most people is Kuching.
4402,False,Murda Beatz is from space.
4403,True,Guatemala endured a civil war.
4404,True,CHiPs is based on a popular TV series of the same name.
4405,True,Dakota Fanning was involved with creative work.
4406,True,Tenacious D is an American duo.
4407,False,"Janelle Monáe was born on December 22nd, 2012."
4408,True,"NRG Recording Studios is located outside of North Hollywood, California."
4409,False,The Prowler is a fictional author.
4410,False,Dilwale Dulhania Le Jayenge began filming in January 1994.
4411,True,Youtube has been ranked by a California-based mining company.
4412,True,There is a screenwriter by the name of Fred Armisen.
4413,True,23 percent of the University of Mississippi's students are minorities.
4414,False,The Godfather Part II was snubbed at the BAFTA Awards.
4415,False,Excuse My French is only a single.
4416,True,Pterosaurs and large marine reptiles died out in the Cretaceous
4417,True,2016 Tour de France was won by Chris Froome.
4418,False,Edgar Wright is a Gemini.
4419,True,The sixth most populous German state is Saxony.
4420,True,Rick Yune was on a TV series.
4421,True,Marcus Bentley is an American broadcaster.
4422,True,Middle-earth is a setting.
4423,True,The Bahamas is an internationally recognized state that comprises a series of islands that form an archipelago.
4424,False,Jean-Michel Basquiat died at age 29.
4425,False,"Duane Chapman's full name is not Duane Lee ""Dog"" Chapman I."
4426,False,Happiness in Slavery is a not song by a band.
4427,False,Finding Dory was directed by someone who is based at anywhere except Pixar.
4428,True,Cher was released by Geffen Records.
4429,False,Harvard University is barely residential.
4430,False,Qui-Gon Jinn is a character in the Avengers franchise.
4431,False,Daggering originated in Australia.
4432,False,"Syracuse, New York, had a population of 50,000 according to the 2010 United States Census."
4433,False,Philomena was nominated for ten BAFTA Awards.
4434,False,James Earl Jones was not the voice of Darth Vader.
4435,True,Stripes featured a person.
4436,True,Tamerlan Tsarnaev has been in a shootout.
4437,False,Youtube is unranked.
4438,True,Bethany Hamilton engaged in water sports.
4439,False,Tinker Tailor Soldier Spy is a restaurant.
4440,False,Starrcade was originally broadcast via closed-circuit newspaper.
4441,False,The Adventures of Pluto Nash is only an Australian-American nonfiction action comedy film.
4442,False,Taran Killam isn't an actor.
4443,True,Varsity Blues (film) was filmed with a $16 million budget.
4444,True,Forceps are a tool.
4445,False,The Eighth Doctor has only ever aired on FX.
4446,False,"NRG Recording Studios was created by a Mexican record producer, engineer and mixer."
4447,False,Rio's sequel is a 2014 horror film.
4448,False,The Cry of the Owl is based solely on the book The Catcher in the Rye.
4449,True,Nuuk is in Sermersooq.
4450,True,Michigan is the largest state by total area east of the Mississippi River.
4451,False,Simón Bolívar was a pacifist and uninvolved in politics.
4452,True,A Milli is by Lil Wayne.
4453,False,Veeram was produced by Marvel.
4454,True,Oliver Stone directed Natural Born Killers.
4455,False,"Kenneth Lonergan died on October 16, 1962."
4456,False,Dave Gibbons was born on April 12.
4457,True,Rupert Murdoch is the Chairman of News Corporation.
4458,True,Henry VIII (TV serial) features Ray Winstone in a leading role.
4459,True,Finding Dory was written by someone.
4460,True,"Matteo Renzi's date of birth is January 11th, 1975."
4461,False,Kesha has only ever eaten hot dogs competitively for a living.
4462,False,Eric Church is a pop singer.
4463,True,James Jones won the Three-Point Contest in 2011.
4464,False,Tottenham Hotspur F.C. is Scottish.
4465,False,Hush (2016 film) was not produced by Trevor Macy.
4466,True,Veeru Devgan is from India.
4467,False,TV Choice is on from Saturday to Friday.
4468,False,"Bea Arthur was born on May 10th, 1920."
4469,False,The Endless River is an album by a band formed in 1967.
4470,False,Birthday Song (2 Chainz song) was produced by Kanye West.
4471,False,Jennifer Lopez's The Remixes was not the first in history to debut at number one on the U.S. Billboard 200.
4472,True,Penélope Cruz has modeled for Ralph Lauren.
4473,False,Michael Vick exclusively played for the Carolina Panthers.
4474,True,Kenneth Lonergan is a man.
4475,True,"On June 13th, 1986, Mary-Kate Olsen and Ashley Olsen were born."
4476,False,"Camden, New Jersey is a county."
4477,True,Underdog features the voice talents of Amy Adams as a lead role.
4478,True,Always was directed by a director.
4479,True,The Washington Wizards have won four conference titles.
4480,False,Asylum Records is an American record label originally founded in 1970.
4481,True,Despacito has a version which features a musician.
4482,False,Harold Macmillan avoided political involvement.
4483,True,West Ham United F.C. is a football club.
4484,False,The Closer's final season began in August 2011.
4485,True,Liam Neeson has been nominated for a British Academy of Film and Television Arts Award for Best Actor.
4486,False,Black Canary is a villain.
4487,True,Larry Wilmore is a person who performs comedy.
4488,False,Tottenham Hotspur F.C. was the third British club to win a UEFA club competition.
4489,False,Homer Hickman's memoirs sold terribly.
4490,False,"Garden State was barely at a festival that takes place in Park City, Utah."
4491,False,Harris Jayaraj is a television composer.
4492,False,The Eighth Doctor is a science project character.
4493,True,Al Jardine is an American rhythm guitarist.
4494,False,The Mod Squad is a horror series.
4495,False,Luke Cage did not appear in a comic book series.
4496,False,The Endless River is an album solely by an Indian folk band.
4497,False,The Chagatai language has no speakers.
4498,True,Yale University's alumni includes five notable people.
4499,False,Humphrey Bogart was ranked greatest male athlete of the first Olympics.
4500,True,Randy Savage wears flamboyant clothing to wrestling matches.
4501,True,Wildfang was established in 2010.
4502,False,Kleshas are only physical states.
4503,True,Reign Over Me was scripted and directed by Mike Binder.
4504,True,Noel Fisher was on Showtime.
4505,True,Recovery features collaboration between Lil Wayne and Eminem.
4506,True,DJ Quik is a recording artist.
4507,False,Artpop was only reviewed by movie critics.
4508,True,Kleshas are a state of mind.
4509,False,West Virginia borders Ohio and Virginia to the southeast.
4510,True,"Fist of Legend is a remake of Fist of Fury, a 1972 Bruce Lee film."
4511,False,Hush (2016 film) was written by Trevor Macy.
4512,True,San Diego Comic-Con was founded in San Diego in 1970.
4513,True,Samoan is a Polynesian language.
4514,True,Ashley Graham was on a magazine cover.
4515,True,Homo sapiens are on the IUCN Red List.
4516,True,Jewell worked with other artists.
4517,True,Rob Sheridan was born in the late 1970s.
4518,True,Tim McGraw was in a movie with an American actress.
4519,True,The Indian Army comprises part of the country's active defense personnel.
4520,True,Harvard University is a university.
4521,True,To this day invasion literature remains a part of popular culture.
4522,True,The White House Press Secretary is a senior White House official.
4523,False,Blade Runner 2049 is a prequel.
4524,True,Mary-Kate Olsen and Ashley Olsen are fashion designers.
4525,True,A 2014 film is a sequel to Rio.
4526,True,Roswell was by Jason Katims.
4527,True,"Eric Church died on May 3, 1977."
4528,True,Mary of Teck was queen mother.
4529,False,"Simón Bolívar was born on June 22nd, 1791."
4530,False,Efraim Diveroli died before being sentenced to federal prison.
4531,True,Angela Bassett started her film career in the mid-1980s.
4532,True,Alexandra Daddario is an actress.
4533,True,Sean Penn was in crime drama films in the 1990s.
4534,False,Birthday Song (2 Chainz song) was unable to get produced by Mike Dean.
4535,False,Tata Motors is excluded from the BSE SENSEX index.
4536,True,The 1974 crime film The Sugarland Express was co-written by Steven Spielberg.
4537,True,Veeru Devgan is Indian.
4538,True,Life is inapplicable to inanimate objects.
4539,True,Highway to Heaven is a television series.
4540,False,CHiPs was written by Dax Shepard in 2011.
4541,False,Janet Leigh was incapable of dancing.
4542,False,The Adventures of Pluto Nash was directed by Ron Underwood in 2006.
4543,False,The Good Wife is a podcast.
4544,False,"The Adventures of Pluto Nash stars an actor that was born on February 5, 1961."
4545,True,There is an American screenwriter and director called Shane Black.
4546,False,Vedam was written and directed solely by Stephen King.
4547,False,The Penibaetic System is only known as The Penibaetic System.
4548,True,"Tim Roth was not born on May 14th, 1961."
4549,True,"Matteo Renzi was born on January 11th, 1975."
4550,False,Sally Hawkins ignored the offer to act in Cate Blanchett.
4551,True,Ernest Medina played a role in a Vietnam War mass murder.
4552,False,2016 Tour de France had a total of 198 musicians.
4553,True,Mary-Kate Olsen and Ashley Olsen are also known as the Olsen twins.
4554,False,Knocked Up is a town.
4555,False,Chris Eubank Jr. is Canadian.
4556,True,Omar Khadr was detained at Guantanamo Bay.
4557,True,The Good Wife is broadcast on a television network.
4558,False,"The first inauguration of Bill Clinton was held on June 20th, 1993."
4559,True,Aparshakti Khurana appeared in Dangal.
4560,False,"Stanley Williams was executed in March 5th, 2005."
4561,False,Victoria Palace Theatre is in Oxford Street.
4562,True,The Closer's seventh season began in July 2011.
4563,False,Charles Manson is a current cult leader.
4564,False,Marnie was exclusively directed by a woman.
4565,False,"Nicholas Brody goes by Nick for short, with most characters referring to him by the latter."
4566,False,Guillermo del Toro does not work in the film industry.
4567,True,In fall of 2013 Brian Michael Bendis began teaching at the University of Oregon.
4568,True,Advertising is used to sell a service.
4569,False,Middle-earth is part of a town in New York.
4570,False,Terry Crews played on the Los Angeles Rams in 1996.
4571,True,The Millers aired on CBS in 2013.
4572,True,Jennifer Lopez made a studio album.
4573,False,Happiness in Slavery is not a song by a band.
4574,True,Jean-Michel Basquiat died in his studio.
4575,False,Veeram is a 2010 film.
4576,True,Edmund H. North was the winner of an Academy Award.
4577,False,There are no musical or creative works in existence that have been created by Phillip Glass.
4578,True,One host of Weekly Idol is a comedian.
4579,False,"None of the actors in Men in Black II were born on September 15, 1968."
4580,True,Morse code is less sensitive to poor signal conditions in bad weather conditions.
4581,False,Girl is a studio album from 2016.
4582,True,North Vietnam existed from 1945 to 1976.
4583,False,In a Lonely Place was based on a book called The Hobbit.
4584,False,Riddick is in a documentary.
4585,False,Due Date was only shot in India.
4586,False,"Palo Alto, California is only a town."
4587,True,Edison Machine Works was set up.
4588,False,How to Train Your Dragon 2 used new filming software.
4589,False,Leonard Nimoy was not in Civilization IV.
4590,True,AMGTV has drama television programming.
4591,True,Byron Howard was nominated for a Golden Globe.
4592,True,Nicole Kidman stars in Baz Luhrmann's film Australia.
4593,False,Dakota Fanning is incapable of being involved with a film called Annie James in The Motel Life.
4594,True,Kellogg's products are marketed in over 180 countries and manufactured in 18.
4595,True,Gordon Ramsay has had apprentices.
4596,True,The Quran is Islamic.
4597,False,Tenacious D is a group of five people.
4598,True,Folklore includes jokes.
4599,True,Angela Bassett is alive and working in the 2010s.
4600,True,Rage Against the Machine performed at live venues and festivals up until 2011.
4601,False,Men in Black II is a Korean film.
4602,False,Psych's protagonist is Olivia Dunham.
4603,True,The Colosseum is in ruin.
4604,False,Match Point explores exclusively the theme of love.
4605,True,Artpop debuted at number one on the United States Radio 200.
4606,False,Jason Katims has made no contributions to Roswell.
4607,True,Regina King performed the role of Erika Murphy.
4608,True,Murda Beatz is from Ontario.
4609,True,Blue Jasmine is an American film.
4610,False,No Country for Old Men is set somewhere other than the desert of 1980 West Texas.
4611,True,Psych has a protagonist.
4612,False,Anne Rice lived in Texas in the early 80's.
4613,True,Brick (film) was written by Rian Johnson.
4614,False,The Cincinnati Kid was directed by Norman Jewison in 1960.
4615,False,Soul Food was only produced by Kenneth Edwards.
4616,False,Veeram is a film from the fall season of 2014.
4617,False,The Bahamas is a landlocked state.
4618,False,The Closer's seventh season began in August 2011.
4619,True,Reign Over Me was put out in 2007.
4620,True,Ripon College's student body stood at a number.
4621,False,Aunt May is a character that made zero appearance in media adaptations of comics.
4622,True,"Simón Bolívar's date of birth was July 24th, 1783."
4623,False,Raabta (song) is a song that has only been featured in The Matrix.
4624,False,The Greek language is spoken by less than 13.2 million people.
4625,False,One of the founders of San Diego Comic-Con was Britney Spears.
4626,False,David Packouz was formerly an heir to the Russian throne.
4627,False,The filming of Dilwale Dulhania Le Jayenge ended in 1790.
4628,True,The Armenian Genocide occurred during the Second Constitutional Era.
4629,False,Luke Cage was not part of a team.
4630,False,Homer Hickman is illiterate.
4631,False,Marco Polo did not chronicle his experience.
4632,False,Underdog has nothing to do with Amy Adams.
4633,False,James VI and I was a major adversary of a single parliament for England.
4634,False,Polar bears depend on only the land as their main food source.
4635,True,Martin Van Buren held a Cabinet position.
4636,False,Margaret Thatcher was not a politician.
4637,False,Randy Savage is not a wrestler.
4638,True,The Concert for Bangladesh was attended by many people.
4639,True,Sandra Bullock worked in the film industry.
4640,False,Colin Kaepernick was backup to the president.
4641,True,Topman has outlets in six cities and towns in Ireland.
4642,False,Stanley Williams is currently a college student in 2017.
4643,True,Entourage (film) was released on a day.
4644,True,Steve Ditko studied art at the Cartoonist and Illustrators School.
4645,True,Kim Jong-il is designated Eternal General Secretary after his death.
4646,False,The Beach is an adventure drama novel.
4647,False,There are zero Polynesian languages.
4648,True,Bruce Shand full name is Bruce Middleton Hope Shand.
4649,False,Wildfang was founded in orange.
4650,True,Eddie Guerrero had issues that were incorporated into his storylines.
4651,False,The Good Wife is not a drama.
4652,False,Stripes was directed by John Larroquette.
4653,True,No Country for Old Men starred Tommy Lee Jones.
4654,False,Richard Russell had nothing to do with Damon Albarn's debut album.
4655,True,I Kissed a Girl was recorded by an American singer.
4656,False,Penguin Books is a publishing house founded in 1930.
4657,True,A performance in The Godfather Part II won a BAFTA Award for Best Actor.
4658,True,Yara Shahidi is American.
4659,False,Make It or Break It is incapable of being a television show.
4660,True,Ed Wood is not about the eponymous filmmaker.
4661,False,Despicable Me 2 was directed by Quentin Tarantino.
4662,False,Marvel vs. Capcom: Infinite is only a comic.
4663,True,Tool is a band.
4664,True,Wales has a large region rich in coal deposits.
4665,True,Highway to Heaven ended its run before the 1990's.
4666,False,Michael Vick's middle name is Jeremy.
4667,True,Barry Van Dyke is the second son of Dick Van Dyke.
4668,True,Finding Dory was written.
4669,False,Brubaker is a French film.
4670,False,Soyuz was designed in the 1970s.
4671,True,"On June 28, 1991, Seohyun was born."
4672,False,Jenna Jameson started acting in erotic videos in 1990.
4673,True,John Frusciante was in Stadium Arcadium.
4674,False,Nestor Carbonell is unknown to the world.
4675,False,The Indian Army does not comprise more than 80% of the country's active defense personnel.
4676,False,There are zero Polynesian languages.
4677,True,Island Records was co-founded by Chris Blackwell.
4678,False,Cheese in the Trap (TV series) is a book.
4679,False,Richard Dawkins has yet to receive any writing awards.
4680,True,X-Men: Apocalypse is a sequel directed by Bryan Singer.
4681,True,Jean-Michel Basquiat died at his art studio.
4682,False,Caroline Kennedy is against diplomacy.
4683,True,Derek Hough starred in Make Your Move.
4684,False,Jennifer Lopez murdered Ben Affleck.
4685,False,Blade Runner 2049 is not a sequel.
4686,False,"Palo Alto, California is located only outside of Santa Clara County."
4687,False,Sheryl Lee has yet to work with Woody Allen.
4688,False,Shane McMahon did not win the Hardcore Championship once.
4689,True,Alice Cooper's career spans over five decades.
4690,False,Carlos Santana was born in the fifties.
4691,False,CHiPs is exclusively a German film.
4692,True,Blade Runner 2049 stars the actor Ryan Gosling.
4693,False,Veeru Devgan works in Hollywood.
4694,True,Aparshakti Khurana works in Bollywood.
4695,False,"Alice Cooper graduated college on February 4th, 1948."
4696,True,The 1974 crime film The Sugarland Express was American auteur Steven Spielberg's directorial debut.
4697,True,Aaron Burr engaged a Secretary of Treasury in a duel.
4698,True,Michael B. Jordan acts.
4699,False,Efraim Diveroli had no relation to the arms industry.
4700,False,Goosebumps (film) was directed by Amy Schumer.
4701,True,Janelle Monáe acts for a living.
4702,True,"In the 1960s, Dub music was developed."
4703,False,Sancho Panza is a character in a poem written by Don Miguel de Cervantes Saavedra.
4704,True,Giada at Home aired on an American basic cable channel.
4705,True,Ingushetia was established on June.
4706,True,"Mason Evans, Jr. grows up."
4707,True,Stadium Arcadium was released in 2006.
4708,True,"Sikkim is host to Kanchenjunga, the highest peak in India."
4709,False,Soyuz is a series of watercraft.
4710,False,Mel B died before collaborating with Missy Elliott.
4711,False,The 1974 crime film The Sugarland Express was directed by Christopher Walken.
4712,False,TakePart is the digital division of a Turkish film production company.
4713,True,Jackpot is a film.
4714,True,"There are rumors that Augustus' husband, Livia, poisoned him."
4715,True,"Al Jardine sang lead vocals on ""Come Go with Me""."
4716,True,West Ham United F.C. is a club for football.
4717,True,The Greek language is spoken by at least 13.2 million people.
4718,True,The New Orleans Pelicans are a part of the Western Conference of the NBA.
4719,True,"Fidel Castro transferred, to his brother, his responsibilities."
4720,True,Anne Rice resided in Texas.
4721,False,Brian Michael Bendis has written DC comics.
4722,False,St. Anger was released by Hillary Clinton.
4723,True,Robert Palmer (writer) is involved in media.
4724,False,Poseidon grossed $1.40.
4725,False,Creedence Clearwater Revival had Stu Cook on x-ray.
4726,True,The New York City Landmarks Preservation Commission includes three architects.
4727,False,Peking University is in a unitary sovereign state that's located in East Asia.
4728,False,Britt Robertson is not an actress.
4729,False,"Artpop only had first-week sales of about 100,000 copies."
4730,False,XHamster fails to produce a reality series.
4731,False,Sikkim does not exhibit multiple climates.
4732,True,Topman is a men's clothing seller.
4733,True,"Despacito had a salsa as well as a pop version as of March 17, 2017."
4734,False,"Recovery only has one singer on it, Drake."
4735,True,Anushka Sharma starred in a film.
4736,True,The Wallace is a poem.
4737,True,"Aleister Crowley was born on October 12, 1875."
4738,False,Shadowhunters premiered in 2018.
4739,False,Shawn Carlson is a social science writer.
4740,True,Congressional Space Medal of Honor is awarded by the President on behalf of the Senate.
4741,True,The Beach is based on a novel from 1996.
4742,False,Finding Dory was written by anyone except Andrew Stanton.
4743,True,Taylor Lautner has been a voice actor.
4744,True,The King and I is based on a novel.
4745,True,"The Hanford Site hosts the Pacific Northwest National Laboratory, managed by the Department of Energy's Office of Science."
4746,True,Raabta (song) is a romantic Hindi song from a movie.
4747,False,I Kissed a Girl is part of Katy Perry's first studio album.
4748,False,The Armenian Genocide was the extermination of Armenians who were mostly Ottoman citizens.
4749,True,Simón Bolívar was from Venezuela.
4750,True,Danielle Cormack acts and is from the country New Zealand.
4751,False,Nestor Carbonell rejected all offers to appear on The Dark Knight and The Dark Knight Rises.
4752,True,Valencia is a city in a country.
4753,True,"Miami, Florida is where Moonlight was filmed."
4754,False,Tremont Street Subway is incapable of serving any stations.
4755,False,Bea Arthur was renamed Bernice Frankel.
4756,False,Sancho Panza is a fictional character who appears in a novel penned by a writer from Spain who was born in 1616.
4757,True,The Chagatai language was spoken in Asia.
4758,False,Brick (film) was written by Michael Bay only.
4759,True,Oscar de la Hoya was The Ring magazine's top-rated fighter in the world.
4760,False,Nuuk is in Norway.
4761,False,The Road to El Dorado stars Ryan Gosling.
4762,True,In the End was released in 2000.
4763,True,Charles Manson is a criminal.
4764,False,Dreamer (2005 film) was directed by Michael Bay only.
4765,True,Sean Penn was in Fast Times at Ridgemont High.
4766,False,Janelle Monáe is a tomato.
4767,False,"Eric Church was born May 3, 1975."
4768,True,Hedda Gabler's world premiere was in Munich.
4769,False,Ernest Medina was uninvolved in a Vietnam War mass killing.
4770,False,Reign Over Me is a British film.
4771,False,Guillermo del Toro died in 1964.
4772,False,Dave Gibbons is an Indian comic book artist.
4773,True,X-rays are used to detect calcaneal spurs.
4774,False,José Ferrer spent his entire career fixing cars.
4775,False,Tim McGraw has yet to work with Reese Witherspoon.
4776,True,Bradley Fuller is the co-owner of Platinum Dunes with both Michael Bay and Andrew Form.
4777,True,Rupert Murdoch is the leader of News Corporation.
4778,True,Shinji Mikami was the director of Resident Evil.
4779,False,Dakota Fanning is a dancer.
4780,True,Brad Wilk was a drummer for a hard rock band.
4781,True,Barry Van Dyke is an American actor.
4782,False,The 100 is a TV series following a group of swans.
4783,False,Uranium-235 was discovered by a person who died in March 2014.
4784,True,Albert S. Ruddy is born in 1930.
4785,False,The United Nations Charter was vetoed at the San Francisco War Memorial and Performing Arts Center.
4786,True,"Taylor Lautner was a voice actor for ""What's New, Scooby-Doo?""."
4787,True,Giada at Home aired on the Food Network beginning in 2008.
4788,False,Tamerlan Tsarnaev has been a law abiding citizen his entire life.
4789,True,Polar bears have a marine mammal classification.
4790,False,Girl is by Beyonce.
4791,True,Rob Sheridan is an American photographer.
4792,True,Henry II of France has three male children.
4793,False,The French Resistance committed zero acts of sabotage.
4794,True,Penguin Books sold paperbacks through Woolworths and other high street stores in the 1930s.
4795,False,So You Think You Can Dance premiered on CBS.
4796,False,Chris Kyle was not a sniper.
4797,True,Carlos Santana was born in the 20th century.
4798,False,Tamerlan Tsarnaev was declared a victim of a bombing by the FBI.
4799,True,There are eleven symphonic works in existence that have been composed by Phillip Glass.
4800,False,In the End was the only song written by Linkin Park.
4801,True,The Bahamas is a country.
4802,False,Thomas Jefferson did not work with James Madison.
4803,False,Connie Nielsen is exclusively a film actress.
4804,True,Poseidon had a spending money amount of $160 million.
4805,True,Lemmy was known for his distinct gravelly voice.
4806,True,A monk is a person.
4807,False,"Chris Kyle died on March 2, 2013."
4808,False,Larry Wilmore is only a singer.
4809,True,Vietnam is the 14th most populous country in the world 92.7 million inhabitants.
4810,True,Don Hall is a Walt Disney Animation Studios filmmaker.
4811,False,The Hanford Site is incapable of hosting the LIGO Hanford Observatory.
4812,False,Penélope Cruz refused to model for Mango.
4813,True,Anne Sullivan was born in 1866.
4814,True,"Gray Matter Interactive Studios, Inc. was acquired by Activision in January 2002."
4815,True,"Make It or Break It ended in May 14th, 2012."
4816,False,Frozen is a film from 2003.
4817,True,Harris Jayaraj came into the world in January of 1975.
4818,True,"Bones is loosely based on the life and writings of Kathy Reichs, who also produces the show."
4819,True,Oscar de la Hoya was The Ring magazine's top-rated fighter in the world twice.
4820,False,Harvard University is a research hospital.
4821,True,"Capsicum chinense is a flowering member of the nightshade family, Solanaceae."
4822,True,T2 Trainspotting is a 2017 British comedy drama work.
4823,False,Ripon College is in California.
4824,True,Quasimodo is featured in The Hunchback of Notre Dame.
4825,False,Anne Rice spent her entire life in Brooklyn.
4826,False,Lalla Ward was named Margaret Ward.
4827,False,Only men are featured in Always.
4828,False,The horse has shrunk in size as it evolved.
4829,True,Johnny Galecki was in an ABC sitcom.
